,uuid,name,sire,dam,sex,alive,plumage,acquired_on,age,coef_inbreeding,p_kinship,p_k_mean
237,e3a717,ruby_220,cobalt_23,cobalt_34,M,0,gray,2022-01-01,NA,0.007812,,0.01748827272727273
238,e66d48,ruby_225,purple_29,cobalt_10,M,0,gray,2022-01-21,NA,0.03125,0.060634,0.01748827272727273
239,60cc84,ruby_236,purple_117,cobalt_54,F,1,silver,2022-05-08,1086.0,0.015625,0.03125,0.01748827272727273
240,d4ecfb,ruby_246,cobalt_80,purple_190,M,1,gray,2023-07-07,661.0,0.000244,0.000485,0.01748827272727273
241,033857,ruby_250,purple_113,cobalt_22,F,1,gray,2023-08-02,635.0,0.015625,0.030773,0.01748827272727273
242,6658b5,ruby_253,cobalt_57,purple_174,M,1,gray,2023-08-09,628.0,0.007812,,0.01748827272727273
243,21af3e,ruby_254,cobalt_57,purple_174,F,0,gray,2023-08-09,NA,0.007812,,0.01748827272727273
244,e9d65c,ruby_255,purple_166,ruby_207,M,1,gray,2023-08-20,617.0,0.006226,0.012355,0.01748827272727273
245,a27f47,ruby_256,purple_166,ruby_207,F,1,gray,2023-08-21,616.0,0.006226,0.012355,0.01748827272727273
246,8b8f92,ruby_257,purple_166,ruby_207,F,1,gray,2023-08-21,616.0,0.006226,0.012355,0.01748827272727273
247,c03da8,ruby_258,purple_166,ruby_207,M,0,silver,2023-08-21,NA,0.006226,0.012355,0.01748827272727273
248,4d0ab0,ruby_259,cobalt_98,cobalt_7,F,1,gray,2023-08-28,609.0,-0.0,0.0,0.01748827272727273
249,1e853c,ruby_261,cobalt_98,cobalt_7,F,1,gray,2023-08-30,607.0,-0.0,0.0,0.01748827272727273
250,cbecce,ruby_262,cobalt_80,purple_190,M,0,gray,2023-09-06,NA,0.000244,0.000485,0.01748827272727273
251,101145,ruby_264,purple_152,cobalt_218,M,1,gray,2023-08-21,616.0,0.015625,0.031129,0.01748827272727273
252,d91290,ruby_269,cobalt_55,cobalt_25,F,1,fawn,2023-09-24,582.0,0.012451,0.024522,0.01748827272727273
253,b52ce8,ruby_270,cobalt_55,cobalt_25,M,1,gray,2023-09-24,582.0,0.012451,0.024522,0.01748827272727273
254,c70bd7,ruby_271,cobalt_6,cobalt_9,F,0,silver,2023-09-20,NA,0.018555,0.036001,0.01748827272727273
255,e6df9d,ruby_273,cobalt_6,cobalt_9,F,1,silver,2023-09-20,586.0,0.018555,0.036001,0.01748827272727273
256,67374b,ruby_275,cobalt_35,cobalt_10,F,0,gray,2023-09-15,NA,0.009277,0.018001,0.01748827272727273
257,acaaf2,ruby_276,cobalt_32,ruby_203,F,0,gray,2023-10-17,NA,-0.0,,0.01748827272727273
258,2aa653,ruby_279,cobalt_16,cobalt_79,M,0,gray,2023-10-15,NA,0.016113,0.032227,0.01748827272727273
259,348e96,ruby_281,cobalt_16,cobalt_79,M,1,silver,2023-10-12,564.0,0.016113,0.032227,0.01748827272727273
260,c66af6,ruby_288,cobalt_98,cobalt_7,M,1,gray,2023-11-18,527.0,-0.0,0.0,0.01748827272727273
261,5fc721,ruby_294,purple_166,ruby_207,F,1,silver,2023-11-17,528.0,0.006226,0.012355,0.01748827272727273
262,25cdcc,ruby_297,cobalt_57,purple_174,F,1,gray,2023-12-31,484.0,0.007812,,0.01748827272727273
263,af9fc6,ruby_298,cobalt_57,purple_174,M,1,gray,2023-12-28,487.0,0.007812,,0.01748827272727273
264,4db0aa,ruby_300,cobalt_242,cobalt_201,F,1,gray,2024-01-02,482.0,0.016602,0.033203,0.01748827272727273
265,09fc9b,ruby_302,cobalt_314,emerald_8,F,1,gray,2025-02-15,72.0,-0.0,,0.01748827272727273
266,890c39,ruby_303,cobalt_314,emerald_8,M,1,gray,2025-02-16,71.0,-0.0,,0.01748827272727273
267,5e4198,ruby_304,cobalt_314,emerald_8,M,1,gray,2025-02-18,69.0,-0.0,,0.01748827272727273
268,a31736,ruby_307,emerald_21,purple_222,F,1,gray,2025-01-18,100.0,0.0,0.0,0.01748827272727273
269,4c2d88,ruby_309,emerald_13,cobalt_397,M,1,gray,2025-02-01,86.0,0.0,0.0,0.01748827272727273
270,ce23a0,ruby_310,cobalt_122,cobalt_110,M,1,gray,2025-01-19,99.0,0.015625,0.031129,0.01748827272727273
271,bfad38,ruby_311,emerald_13,cobalt_397,F,1,gray,2025-02-03,84.0,0.0,0.0,0.01748827272727273
272,c2257f,ruby_315,emerald_13,cobalt_397,F,1,gray,2025-02-01,86.0,0.0,0.0,0.01748827272727273
273,ec60f6,ruby_317,ruby_270,ruby_256,M,1,gray,2025-03-15,44.0,0.056427,0.11181,0.01748827272727273
274,7ddc9c,ruby_318,ruby_270,ruby_256,M,1,gray,2025-03-14,45.0,0.056427,0.11181,0.01748827272727273
275,450cc2,ruby_320,ruby_270,ruby_256,M,1,gray,2025-03-12,47.0,0.056427,0.11181,0.01748827272727273
276,e8c79e,ruby_322,cobalt_328,emerald_4,F,1,fawn,2025-02-05,82.0,0.0,,0.01748827272727273
277,e22ec2,ruby_323,cobalt_328,emerald_4,M,1,gray,2025-02-06,81.0,0.0,,0.01748827272727273
278,8a76a0,ruby_324,cobalt_165,ruby_250,M,1,gray,2025-02-08,79.0,0.036713,0.072849,0.01748827272727273
279,76744d,ruby_325,cobalt_165,ruby_250,U,1,gray,2025-02-06,81.0,0.036713,0.072849,0.01748827272727273
280,76f812,ruby_326,cobalt_165,ruby_250,M,1,fawn,2025-02-08,79.0,0.036713,0.072849,0.01748827272727273
281,a40add,ruby_327,cobalt_165,ruby_250,U,1,gray,2025-02-07,80.0,0.036713,0.072849,0.01748827272727273
282,7efef4,ruby_328,emerald_2,purple_206,U,1,gray,2025-03-18,41.0,0.0,0.0,0.01748827272727273
283,8ee45b,ruby_329,emerald_2,purple_206,U,1,gray,2025-03-16,43.0,0.0,0.0,0.01748827272727273
284,b733bc,ruby_330,emerald_2,purple_206,U,1,silver,2025-03-16,43.0,0.0,0.0,0.01748827272727273
285,877b69,ruby_331,emerald_6,cobalt_315,M,1,,2025-04-05,23.0,-0.0,0.0,0.01748827272727273
286,81997c,ruby_332,emerald_6,cobalt_315,M,1,,2025-04-05,23.0,-0.0,0.0,0.01748827272727273
287,0da0aa,ruby_333,emerald_6,cobalt_315,M,1,,2025-04-09,19.0,-0.0,0.0,0.01748827272727273
288,4e04d4,ruby_334,emerald_6,cobalt_315,M,1,,2025-04-10,18.0,-0.0,0.0,0.01748827272727273
289,39ffee,ruby_400,orange_89,orange_111,M,0,gray,2017-08-06,NA,-0.0,0.0,0.01748827272727273
290,91eb33,silver_151,e1a98d00,6b3dbce1,F,0,gray,2017-12-05,NA,-0.0,0.0,0.01748827272727273
291,9164ac,silver_153,e1a98d00,6b3dbce1,F,0,gray,2017-11-28,NA,-0.0,0.0,0.01748827272727273
292,9bde03,9bde0374,purple_219,emerald_16,U,1,,2025-03-28,31.0,0.0,,0.01748827272727273
293,f9bbbd,f9bbbd4f,ruby_246,cobalt_197,U,1,,2025-04-20,8.0,0.013794,,0.01748827272727273
294,99f496,99f4961b,emerald_3,cobalt_373,U,1,,2025-04-28,0.0,0.0,0.0,0.01748827272727273
295,b0a9eb,b0a9ebfa,emerald_13,cobalt_397,U,1,,2025-04-11,17.0,0.0,0.0,0.01748827272727273
296,755032,75503262,purple_219,emerald_16,U,1,,2025-03-28,31.0,0.0,,0.01748827272727273
297,e1fc6c,e1fc6c6c,cobalt_122,cobalt_110,U,1,,2025-04-27,1.0,0.015625,0.031129,0.01748827272727273
298,2da866,2da8662c,emerald_13,cobalt_397,U,1,,2025-04-15,13.0,0.0,0.0,0.01748827272727273
299,10b700,10b700fd,cobalt_391,emerald_17,U,1,,2025-04-25,3.0,0.0,,0.01748827272727273
300,ec8c09,ec8c09f1,ruby_246,cobalt_197,U,1,,2025-04-21,7.0,0.013794,,0.01748827272727273
301,cbff66,cbff6648,emerald_6,cobalt_315,M,1,,2025-04-10,18.0,-0.0,0.0,0.01748827272727273
302,99cbf6,99cbf647,cobalt_391,emerald_17,U,1,,2025-04-22,6.0,0.0,,0.01748827272727273
303,b9b4a9,b9b4a96c,emerald_13,cobalt_397,U,1,,2025-04-13,15.0,0.0,0.0,0.01748827272727273
304,f3f719,f3f7198d,cobalt_379,emerald_1,U,1,,2025-04-05,23.0,0.0,,0.01748827272727273
305,f5035c,f5035c96,purple_219,emerald_16,U,1,,2025-03-30,29.0,0.0,,0.01748827272727273
306,b80c6f,b80c6f9f,emerald_13,cobalt_397,U,1,,2025-04-14,14.0,0.0,0.0,0.01748827272727273
307,667586,66758628,cobalt_391,emerald_17,F,1,,2025-04-13,15.0,0.0,,0.01748827272727273
308,ba20b8,ba20b827,emerald_13,cobalt_397,U,1,,2025-04-12,16.0,0.0,0.0,0.01748827272727273
